Rank,Name,Race,Class,Guild,Faction,Realm,Region,Zone,Spec,SimDPS
788,Cawt,Void Elf,Rogue,Polar,Alliance,Silvermoon,EU,,Subtlety,12633.20
789,Beamlot,Blood Elf,Rogue,Broken Mind,Horde,Azshara,EU,DE,Subtlety,12633.20
790,Sevenofnine,Human,Rogue,Crusader,Alliance,Madmortem,EU,DE,Outlaw,12633.20
791,Soruna,Orc,Monk,Supremacy,Horde,Thrall,EU,DE,Windwalker,12633.10
792,Niralath,Dwarf,Rogue,Stratagem,Alliance,Moon Guard,US,,Outlaw,12632.90
793,Rauchi,Pandaren,Monk,The Bin,Horde,Kazzak,EU,,Windwalker,12632.30
794,Issh,Blood Elf,Rogue,Deposit Coin,Horde,Stormscale,EU,,Outlaw,12632.10
795,Zayk,Blood Elf,Rogue,Eye Of Odin,Horde,Al'Akir,EU,,Outlaw,12632.10
796,Zeraia,Night Elf,Hunter,No Hard Feelings,Alliance,Silvermoon,EU,,Havoc,12631.90
797,Deleteferal,Undead,Rogue,No Bads Allowed,Horde,Tichondrius,US,,Outlaw,12631.40
798,Sukay,Worgen,Rogue,Reunion,Alliance,Frostmane,EU,,Subtlety,12631.40
799,Prodiyo,Blood Elf,Rogue,Lakko,Horde,Defias Brotherhood,EU,,Subtlety,12631.20
800,Jonquy,Orc,Hunter, ,,Ysondre,EU,FR,Survival,12630.80
801,Weisiaø,Undead,Rogue,On your Mind,Horde,Ysondre,EU,FR,Subtlety,12630.70
802,Tego,Blood Elf,Rogue,Ring Åklagarn,Horde,Ragnaros,EU,,Subtlety,12630.70
803,Kestle,Human,Rogue,Pact,Alliance,Moon Guard,US,,Subtlety,12630.40
804,Hollowz,Orc,Rogue,Hoot,Horde,Zul'jin,US,,Subtlety,12629.70
805,Trucis,Undead,Rogue,Positive Reinforce..,Horde,Mal'Ganis,US,,Outlaw,12628.60
806,Murloc,Night Elf,Rogue,No Innuendos,Alliance,Kel'Thuzad,US,,Subtlety,12628.20
807,Éreboh,Void Elf,Warlock,All Might,Alliance,Dun Modr,EU,ES,Affliction,12627.60
808,Akiden,Blood Elf,Rogue,Diagnosis Murloc,Horde,Twisting Nether,EU,,Outlaw,12627.40
809,Velondis,Human,Paladin, ,,Sargeras,US,,Retribution,12627.40
810,Zaanix,Blood Elf,Paladin,DT Reborn,Horde,Twisting Nether,EU,,Retribution,12627.30
811,Jovan,Human,Paladin,Scared of the Dark,Alliance,Frostmourne,OC,,Retribution,12626.80
812,Zerotherogue,Blood Elf,Rogue,Toast,Horde,Area 52,US,,Outlaw,12626.40
813,Mcdäg,Blood Elf,Rogue,The Burning Seagull,Horde,Ragnaros,US,,Outlaw,12625.90
814,Rise,Blood Elf,Rogue,Crew,Horde,Tarren Mill,EU,,Subtlety,12625.40
815,Mythiel,Blood Elf,Rogue,Wächter von Walhall,Horde,Blackrock,EU,DE,Outlaw,12625.20
816,Auriginal,Orc,Rogue,Beware of Yeti,Horde,Draenor,EU,,Subtlety,12624.20
817,Groggz,Blood Elf,Rogue,Ecology,Horde,Kazzak,EU,,Subtlety,12624.10
818,Swäann,Goblin,Warlock,Moo Tang,Horde,Illidan,EU,FR,Affliction,12623.70
819,Pixystix,Night Elf,Rogue,League of Friends,Alliance,Sargeras,US,,Outlaw,12623.40
820,Rizist,Troll,Rogue,Broken Mind,Horde,Azshara,EU,DE,Subtlety,12622.90
821,Yrelith,Blood Elf,Rogue,Denied Completion,Horde,Twisting Nether,EU,,Outlaw,12622.90
822,Xanddoria,Human,Rogue,Engineering Madness,Alliance,Drenden,US,,Subtlety,12622.70
823,Skogx,Blood Elf,Rogue,Security,Horde,Tarren Mill,EU,,Outlaw,12622.50
824,Finsca,Orc,Rogue,Divine Insanity,Horde,Eredar,EU,DE,Subtlety,12622.40
825,Tomonafide,Blood Elf,Rogue,Encore,Horde,Burning Legion,EU,,Subtlety,12622.10
826,Aggress,Blood Elf,Rogue,Enigma,Horde,Mal'Ganis,US,,Subtlety,12621.90
827,Gorebreed,Orc,Hunter, ,,Eredar,EU,DE,Survival,12621.30
828,Stencalainen,Night Elf,Rogue,Right Version,Alliance,Frostmane,EU,,Subtlety,12621.20
829,Kelior,Human,Rogue,Miracle,Alliance,Dun Modr,EU,ES,Outlaw,12620.70
830,Bebè,Night Elf,Hunter,So Toxic,Alliance,Dun Modr,EU,ES,Survival,12620.40
831,Conräd,Blood Elf,Rogue,Exødus,Horde,Thrall,US,,Subtlety,12620.40
832,Lunatixs,Blood Elf,Rogue,Expanse,Horde,Blackmoore,EU,DE,Outlaw,12620.40
833,Voxxy,Blood Elf,Paladin,Capital Vices,Horde,Eredar,US,,Retribution,12619.40
834,Snikjarn,Blood Elf,Rogue,Enmity,Horde,Stormscale,EU,,Outlaw,12618.90
835,Cluded,Human,Rogue,Dock On,Alliance,Frostmourne,OC,,Subtlety,12618.90
836,Danbtw,Human,Paladin,Almost Awesome,Alliance,Stormrage,US,,Retribution,12617.50
837,Varleen,Human,Rogue,Praetorian Guards,Alliance,Sargeras,US,,Subtlety,12617.20
838,Alexura,Blood Elf,Hunter,Tsu,Horde,Tichondrius,US,,Havoc,12616.50
839,Viizx,Blood Elf,Rogue,Safety Dance,Horde,Argent Dawn,EU,,Subtlety,12616.20
840,Rekz,Night Elf,Rogue,Nvictus,Alliance,Tyrande,EU,ES,Subtlety,12615.60
841,Dinõ,Undead,Rogue,Purified,Horde,Draenor,EU,,Outlaw,12615.60
842,Mêssy,Blood Elf,Rogue,Business of Ferrets,Horde,Area 52,US,,Outlaw,12614.50
843,Stunkei,Undead,Rogue, ,,Thaurissan,OC,,Outlaw,12614.10
844,Koso,Blood Elf,Hunter,Lethal,Horde,Thunderhorn,US,,Havoc,12613.90
845,Kuglepen,Human,Rogue,Ecrain,Alliance,Antonidas,EU,DE,Outlaw,12613.30
846,Legobox,Blood Elf,Rogue,Fusion,Horde,Barthilas,OC,,Outlaw,12613.10
847,Gangvad,Undead,Rogue,Enmity,Horde,Stormscale,EU,,Outlaw,12612.70
848,Jhenny,Human,Rogue,Yikes,Alliance,Wyrmrest Accord,US,,Subtlety,12612.60
849,Avasarogue,Blood Elf,Rogue,Full Throttle,Horde,Ragnaros,EU,,Subtlety,12612.40
850,Ackrite,Human,Warlock,Scrollkeepers,Alliance,Aegwynn,EU,DE,Affliction,12611.80
851,Azelhart,Nightborne,Rogue,Suspects,Horde,Illidan,US,,Outlaw,12611.50
852,Бинатон,Undead,Rogue,Селфлесс,Horde,Страж смерти,EU,RU,Subtlety,12610.10
853,Silvanaímam,Nightborne,Rogue,Vendetta,Horde,Kazzak,EU,,Subtlety,12610.10
854,Phíx,Human,Rogue,So Others May Live,Alliance,Sargeras,US,,Outlaw,12609.90
855,Pyx,Blood Elf,Rogue,nonsense,Horde,Dentarg,EU,,Subtlety,12609.20
856,Speeddh,Blood Elf,Hunter,Wildcard Gaming,Horde,Mal'Ganis,US,,Havoc,12609.10
857,Ragefâctor,Orc,Rogue,Vex Thal,Horde,Stormscale,EU,,Subtlety,12609.10
858,Lockdream,Troll,Warlock,Humble,Horde,Crushridge,US,,Affliction,12608.70
859,Pandemíc,Undead,Rogue,Untold Prophecy,Horde,Zul'jin,US,,Subtlety,12608.70
860,Krezra,Orc,Rogue, ,,Hellscream,EU,,Outlaw,12607.80
861,Valexia,Blood Elf,Rogue, ,,Caelestrasz,OC,,Outlaw,12607.50
862,Danwo,Orc,Hunter,Distopia,Horde,Kazzak,EU,,Beast Mastery,12607.50
863,Káyl,Blood Elf,Rogue,Reverse Polarity,Horde,Kazzak,EU,,Subtlety,12607.30
864,Jonny,Blood Elf,Monk,Pixel Frenzy,Horde,Bleeding Hollow,US,,Windwalker,12607.10
865,Chîckk,Blood Elf,Rogue,Greed,Horde,Hyjal,EU,FR,Subtlety,12606.80
866,Vispp,Blood Elf,Rogue,Swiss Prime Gaming,Horde,Norgannon,EU,DE,Subtlety,12606.80
867,Vísara,Orc,Rogue,Broken Mind,Horde,Azshara,EU,DE,Subtlety,12606.60
868,Jellytaco,Blood Elf,Rogue,First Iteration,Horde,Bleeding Hollow,US,,Subtlety,12606.30
869,Анансий,Blood Elf,Rogue,А мне по БЛу,Horde,Ревущий фьорд,EU,RU,Outlaw,12606.20
870,Kältar,Blood Elf,Rogue,Fangs of Fenris,Horde,Blackmoore,EU,DE,Outlaw,12604.90
871,Raylark,Void Elf,Rogue,Trip Hazard,Alliance,Hellfire,EU,,Subtlety,12604.80
872,Auxzr,Undead,Rogue,TheoryCraft,Horde,Tichondrius,US,,Outlaw,12604.10
873,Halfaleg,Dwarf,Rogue,Indestructible,Alliance,Kel'Thuzad,US,,Outlaw,12603.50
874,Caliendriel,Human,Rogue,meme,Alliance,Argent Dawn,EU,,Subtlety,12602.90
875,Ulquiôrra,Blood Elf,Paladin,On your Mind,Horde,Ysondre,EU,FR,Retribution,12601.90
876,Savtris,Blood Elf,Hunter,Friendship Parsing,Horde,Mal'Ganis,US,,Survival,12601.60
877,Exolibur,Blood Elf,Rogue,The Vision,Horde,Burning Legion,EU,,Outlaw,12601.50
878,Thizirriette,Human,Rogue, ,,Kael'Thas,EU,FR,Outlaw,12601.40
